srcWikiID,srcWikiTitle,srcWikiType,srcHyperTitle,srcWikiText,srcNYTFreq,dstWikiID,dstWikiTitle,dstWikiType,dstHyperTitle,dstWikiText,dstNYTFreq,cooccurrence,label,outDist,symDist,fRelatedness,fComments,mRelatedness,mComments,harmonicRelatedness
274804,Clark_University,Organisation,Clark_University,"Clark University is an American private university and liberal arts college in Worcester, Massachusetts. Founded in 1887, it is the oldest educational institution founded as an all-graduate university in the United States. Clark now also educates undergraduates. The U.S. News & World Report ranked Clark 75th nationally in both 2015 and 2014, 83rd in 2013, and 95th in 2012. The acceptance rate of the undergraduate class in 2014 was 54%. It is best known for being the birthplace of rocket propulsion.",761,99312,"Worcester,_Massachusetts",Location,"Worcester,_Massachusetts","Worcester ( , locally also  ) is a city and the historic county seat of Worcester County, Massachusetts, United States until Massachusetts disbanded county government in 1998. Named after Worcester, England, as of the 2010 Census the city's population was 181,045, making it the second largest city in New England after Boston.Worcester is located approximately  west of Boston, and  east of Springfield. Due to its location in Central Massachusetts, amidst Massachusetts' major metropolitan regions, Worcester is known as the ""Heart of the Commonwealth"", thus, a heart is the official symbol of the city. However, the heart symbol may also have its provenance in lore that Valentine's Day cards were invented in the city.",2883,39,head,1,1,7,HQ like,7,,7
18952345,Neiman_Marcus,Organisation,Neiman_Marcus,"Flagship Store InteriorNeiman Marcus, originally Neiman-Marcus, is an American luxury specialty department store owned by the Neiman Marcus Group, headquartered in Dallas, Texas. The company also owns the Bergdorf Goodman department stores, and operates a direct marketing division, Neiman Marcus Direct, which operates catalogue and online operations under the Horchow, Neiman Marcus and Bergdorf Goodman names. In the US, Neiman Marcus competes with luxury retailers such as Nordstrom, Saks Fifth Avenue, Bloomingdale's, and Barneys New York. Neiman Marcus is currently owned by CPP Investment Board and Ares Management.",3108,214256,Nordstrom,Organisation,Nordstrom,"Nordstrom, Inc. () is an American upscale fashion retailer, founded by John W. Nordstrom and Carl F. Wallin and headquartered in Seattle. The company began as a shoe retailer and has since expanded its inventory to include clothing, accessories, handbags, jewelry, cosmetics, and fragrances. Select Nordstrom stores also have wedding and home furnishing departments.  There are 323 stores operating in 38 states and Canada, which includes 121 full-line stores and 194 Nordstrom Racks, five Trunk Club clubhouses, two Jeffrey boutiques and one clearance store. Nordstrom also serves customers through nordstrom.com and nordstromrack.com, and its online private sale site, HauteLook. In addition, Nordstrom operates one clearance store, along with two Jeffrey boutiques. Nordstrom, Inc.'s common stock is publicly traded on the NYSE under the symbol JWN. The company announced plans to open six stores in Canada beginning in 2014, as well as its first namesake in New York City in 2018. Nationally, Nordstrom competes with luxury retailers Bloomingdale's, Lord & Taylor, Neiman Marcus, and Saks Fifth Avenue. Of its retail competitors, Nordstrom has both the largest number of store locations and the largest geographic footprint, and its stores anchor many upscale malls throughout the United States.",2034,32,head,1,1,8,Same type,8,,8
354987,Best_Buy,Organisation,Best_Buy,"Best Buy is an American multinational consumer electronics corporation headquartered in Richfield, Minnesota, a Minneapolis suburb. It operates in the United States, Mexico, and Canada. All Best Buy Stores in China were closed in February 2011 and merged with Five Star. The company was founded by Richard M. Schulze and Gary Smoliak in 1966 as an audio specialty store. In 1983, it was renamed and rebranded with more emphasis placed on consumer electronics.",3739,939048,Circuit_City,Organisation,Circuit_City,"Circuit City Stores, Inc. (former NYSE ticker symbol CC) was an American multinational consumer electronics corporation. It was founded in 1949 and pioneered the electronics superstore format in the 1970s.",2059,29,head,3,1,8,Same type,8,,8
217231,Curb_Your_Enthusiasm,Object,Curb_Your_Enthusiasm,"Curb Your Enthusiasm is an American comedy television series produced and broadcast by HBO, which premiered on October 15, 2000. It aired 80 episodes over eight seasons, the last of which aired in 2011. The series was created by Seinfeld co-creator Larry David, who stars as a fictionalized version of himself. The series follows Larry in his life as a semi-retired television writer and producer in Los Angeles and later New York City. Also starring are Cheryl Hines as his wife Cheryl, Jeff Garlin as his manager Jeff, and Susie Essman as Jeff's wife Susie. Curb Your Enthusiasm often features guest stars, and many of these appearances are by celebrities playing versions of themselves fictionalized to varying degrees.",2168,105022,Larry_David,Person,Larry_David,"Lawrence Gene ""Larry"" David (born July 2, 1947) is an American comedian, writer, actor, and television producer. He was the co-creator, with Jerry Seinfeld, of the television series Seinfeld, and was its head writer and executive producer from 1989 to 1996. David has subsequently gained further recognition for the HBO series Curb Your Enthusiasm, which he also created, in which he stars as a semi-fictionalized version of himself.",1919,30,head,1,1,9,,9,,9
7954471,Dick_Pound,Person,Dick_Pound,"Richard William Duncan Pound,  (born March 22, 1942) is a Canadian lawyer and author, and a former competitive swimmer. He is a former president of the World Anti-Doping Agency (WADA) based in Montreal, and a former chancellor of McGill University. He served as vice-president of the International Olympic Committee (IOC) from 1987 to 1991 and again from 1996 to 2000, and was a one-time candidate for the presidency of that organization.",1099,881384,World_Anti-Doping_Agency,Object,World_Anti-Doping_Agency,"The World Anti-Doping Agency (WADA; ) is a foundation created through a collective initiative led by the International Olympic Committee (IOC). It was set up on November 10, 1999 in Lausanne, Switzerland, as a result of what was called the ""Declaration of Lausanne"", to promote, coordinate and monitor the fight against drugs in sports. Since 2002, the organization's headquarters have been located in Montreal, Quebec, Canada. The Lausanne office became the regional office for Europe. Other regional offices have been established in Africa, Asia/Oceania and Latin America. WADA is responsible for the World Anti-Doping Code, adopted by more than 600 sports organizations, including international sports federations, national anti-doping organizations, the IOC, and the International Paralympic Committee.  , its president is Sir Craig Reedie. ",1371,25,head,1,1,9,1st president of WADA,8,,9
497994,Sicilian_Defence,Object,Sicilian_Defence,The Sicilian Defence is a chess opening that begins with these moves:,518,5134,Chess,Object,Chess,"Chess is a two-player board game played on a chessboard, a checkered gameboard with 64 squares arranged in an eight-by-eight grid. Chess is played by millions of people worldwide, both amateurs and professionals.",1818,33,head,1,1,9,,9,,9
334276,Rose_Bowl_Game,Object,Rose_Bowl_Game,"The Rose Bowl Game is an annual American college football bowl game, usually played on January 1 (New Year's Day) at the Rose Bowl stadium in Pasadena, California. When New Year's Day falls on a Sunday, the game is played on Monday, January 2 (14 times now).  The Rose Bowl is nicknamed ""The Granddaddy of Them All"" because it is the oldest bowl game. It was first played in 1902, and has been played annually since 1916. Since 1945, it has been the highest attended college football bowl game. It is a part of the Tournament of Roses ""America's New Year Celebration,"" which also includes the historic Tournament of Roses Parade.",1751,6771,College_football,Object,College_football,A college football game between Colorado State and Air Force,2346,30,head,1,1,5,Not sure,9,,6
78358,Big_Ten_Conference,Object,Big_Ten_Conference,"The Big Ten Conference (B1G), formerly Western Conference and Big Nine Conference, is the oldest Division I collegiate athletic conference in the United States. The conference competes in the  NCAA Division I; its football teams compete in the Football Bowl Subdivision (FBS), formerly known as Division I, the highest level of NCAA competition in that sport. The conference includes the flagship public university in each of 11 states stretching from New Jersey to Nebraska, as well as two additional public land grant schools and a private university.",2407,6771,College_football,Object,College_football,A college football game between Colorado State and Air Force,2346,27,head,2,1,5,Not sure,7,,6
182688,David_Souter,Person,David_Souter,"David Hackett Souter (; born September 17, 1939) is a retired Associate Justice of the Supreme Court of the United States. He served from October 1990 until his retirement in June 2009. Appointed by President George H. W. Bush to fill the seat vacated by William J. Brennan, Jr., Souter sat on both the Rehnquist and Roberts courts and came to vote reliably with the court's liberal members.",1930,185232,Ruth_Bader_Ginsburg,Person,Ruth_Bader_Ginsburg,"Ruth Joan Bader Ginsburg (born March 15, 1933) is an Associate Justice of the Supreme Court of the United States. Ginsburg was appointed by President Bill Clinton and took the oath of office on August 10, 1993. She is the second female justice (after Sandra Day O'Connor) and one of three female justices currently serving on the Supreme Court (along with Sonia Sotomayor and Elena Kagan).",2263,53,head,1,1,8,Same type,8,,8
198946,John_Kander,Person,John_Kander,"John Harold Kander (born March 18, 1927) is the American composer of a number of musicals as part of the songwriting team of Kander and Ebb. Kander composed the music for the stage musical Cabaret, for which he and Fred Ebb won the Tony Award for Best Original Score of a Musical in 1967. Kander and Ebb received the Kennedy Center Honors award for Lifetime Achievement on December 6, 1998.",1555,198947,Fred_Ebb,Person,Fred_Ebb,"Fred Ebb (April 8, 1928 – September 11, 2004) was an American musical theatre lyricist who had many successful collaborations with composer John Kander. The Kander and Ebb team frequently wrote for such performers as Liza Minnelli and Chita Rivera.",1577,31,head,1,1,8,Songrwriter for ebb,8,,8
52274,Richard_Rodgers,Person,Richard_Rodgers,"Richard Charles Rodgers (June 28, 1902 – December 30, 1979) was an American composer of music for more than 900 songs and for 43 Broadway musicals. He also composed music for films and television. He is best known for his songwriting partnerships with the lyricists Lorenz Hart and Oscar Hammerstein II. His compositions have had a significant impact on popular music up to the present day, and have an enduring broad appeal.",1825,53972,Lorenz_Hart,Person,Lorenz_Hart,"Teddy HartLorenz Milton Hart (May 2, 1895 – November 22, 1943) was the lyricist half of the Broadway songwriting team Rodgers and Hart. Some of his more famous lyrics include ""Blue Moon,"" ""Mountain Greenery,"" ""The Lady Is a Tramp,"" ""Manhattan,"" ""Where or When,"" ""Bewitched, Bothered, and Bewildered,"" ""Falling in Love with Love,"" ""My Funny Valentine,"" ""I Could Write a Book"", ""This Can't Be Love"", ""With a Song in My Heart"", ""It Never Entered My Mind"", and ""Isn't It Romantic?"".",798,25,head,1,1,8,Partnership with Hart; maybe lower,8,,8
21405519,Wendy's,Organisation,Wendy's,"Wendy's is  an international fast food restaurant chain founded by Dave Thomas on November 15, 1969, in Columbus, Ohio, United States. The company moved its headquarters to Dublin, Ohio, on January 29, 2006. As of March 1999, Wendy's was the world's third largest hamburger fast food chain with approximately 6,487 locations, following Burger King's 12,000+ locations and McDonald's' 31,000+ locations. On April 24, 2008, the company announced a merger with Triarc Companies Inc., a publicly traded company and the parent company of Arby's. Despite the new ownership, Wendy's headquarters remained in Dublin.Previously, Wendy's had rejected more than two buyout offers from Triarc. Following the merger, Triarc became known as Wendy's/Arby's Group, and later as The Wendy's Company).",2298,165296,Burger_King,Object,Burger_King,"Burger King, often abbreviated as BK, is an American global chain of hamburger fast food restaurants headquartered in unincorporated Miami-Dade County, Florida, United States. The company began in 1953 as Insta-Burger King, a Jacksonville, Florida-based restaurant chain. After Insta-Burger King ran into financial difficulties in 1954, its two Miami-based franchisees, David Edgerton and James McLamore, purchased the company and renamed it Burger King. Over the next half century, the company would change hands four times, with its third set of owners, a partnership of TPG Capital, Bain Capital, and Goldman Sachs Capital Partners, taking it public in 2002. In late 2010, 3G Capital of Brazil acquired a majority stake in BK in a deal valued at US$3.26 billion. The new owners promptly initiated a restructuring of the company to reverse its fortunes. 3G, along with partner Berkshire Hathaway, eventually merged the company with Canadian-based doughnut chain Tim Hortons under the auspices of a new Canadian-based parent company, Restaurant Brands International.",3835,25,head,1,1,8,Same type,8,,8
731832,"Halifax,_Nova_Scotia",Location,"Halifax,_Nova_Scotia","Halifax (), legally the Halifax Regional Municipality (HRM), is the capital of the province of Nova Scotia, Canada. The metropolitan area had a population of 414,400 in 2014 with 297,943 in the urban area centred on Halifax Harbour. The regional municipality consists of four former municipalities that were amalgamated in 1996; Halifax, Dartmouth, Bedford, and the Municipality of Halifax County.",876,21184,Nova_Scotia,Object,Nova_Scotia,"Nova Scotia (Latin for ""New Scotland"", pronounced in English as ) (French: Nouvelle-Écosse; ; ) is one of Canada's three Maritime provinces, and one of the four provinces which form Atlantic Canada.  Its provincial capital is Halifax. Nova Scotia is the second-smallest province in Canada, with an area of , including Cape Breton and another 3,800 coastal islands.  As of 2011, the population was 921,727, making Nova Scotia the second-most-densely populated province in Canada.",2536,25,head,1,1,8,Containment,8,,8
100730,Winnipeg,Location,Winnipeg,"Winnipeg () is the capital and largest city of the province of Manitoba, Canada. It is located near the longitudinal centre of North America, at the confluence of the Red and Assiniboine Rivers.",1709,18926,Manitoba,Object,Manitoba,"Manitoba () is a province located at the longitudinal centre of Canada. It is one of the three prairie provinces and is the fifth-most populous province in Canada, with a population of 1,208,268 as of 2011. Manitoba covers an area of  with a widely varied landscape; the southern and western regions are predominantly prairie grassland, the eastern and northern regions are dominated by the Canadian Shield, and the far northern regions along the Hudson Bay coast are arctic tundra. Manitoba is bordered by the provinces of Ontario to the east and Saskatchewan to the west, the territory of Nunavut to the north, and the US states of North Dakota and Minnesota to the south.",1454,37,head,1,1,8,Capital,8,,8
