srcWikiID,srcWikiTitle,srcWikiType,srcHyperTitle,srcWikiText,srcNYTFreq,dstWikiID,dstWikiTitle,dstWikiType,dstHyperTitle,dstWikiText,dstNYTFreq,cooccurrence,label,outDist,symDist,fRelatedness,fComments,mRelatedness,mComments,harmonicRelatedness
534366,Barack_Obama,Person,Barack_Obama,"Barack Hussein Obama II (; born August 4, 1961) is an American politician serving as the 44th President of the United States, the first African American to hold the office. Born in Honolulu, Hawaii, Obama is a graduate of Columbia University and Harvard Law School, where he served as president of the Harvard Law Review. He was a community organizer in Chicago before earning his law degree. He worked as a civil rights attorney and taught constitutional law at University of Chicago Law School between 1992 and 2004. He served three terms representing the 13th District in the Illinois Senate from 1997 to 2004, and ran unsuccessfully in the Democratic primary for the United States House of Representatives in 2000 against incumbent Bobby Rush.",8782,3356,Bill_Clinton,Person,Bill_Clinton,"William Jefferson Clinton (born William Jefferson Blythe III; August 19, 1946), generally known as Bill Clinton, is an American politician who served as the 42nd President of the United States from 1993 to 2001. He previously served as Governor of Arkansas from 1979 to 1981 and 1983 to 1992, and as the state's Attorney General from 1977 to 1979. A member of the Democratic Party, ideologically Clinton was a New Democrat, and many of his policies reflected a centrist Third Way philosophy of governance. Clinton is one of two United States presidents to be impeached.",84325,38,head,1,1,9,May be temporal,8,,9
618376,Eli_Manning,Person,Eli_Manning,"Elisha Nelson ""Eli"" Manning (born January 3, 1981), is an American football quarterback for the New York Giants of the National Football League (NFL). He is the son of former NFL quarterback Archie Manning and the younger brother of Denver Broncos quarterback Peyton Manning. Manning played college football at the University of Mississippi after attending prep school at Isidore Newman School in New Orleans. He was drafted as the first overall pick in the 2004 NFL Draft by the San Diego Chargers and immediately traded to the New York Giants, who in return gave up a package highlighted by fourth overall selection Philip Rivers.",2693,1636784,Tom_Coughlin,Person,Tom_Coughlin,"Thomas Richard Coughlin (born August 31, 1946) is a former American football coach. Coughlin most recently served as the head coach for the New York Giants, a position he served in for 12 seasons, where he led the Giants to victory in Super Bowl XLII and Super Bowl XLVI. Coughlin was also the inaugural head coach of the Jacksonville Jaguars, serving from 1995 to 2002 and leading the team to two AFC Championship Games. Prior to his head coaching career in the National Football League, he was head coach of the Boston College Eagles football team from 1991 to 1993, and served in a variety of coaching positions in the NFL as well as coaching and administrative positions in college football.",2782,28,head,2,1,8,Not same type but close; May be 7?,8,"A player and his coach, both belong to the same team for many years.",8
5183633,Central_Intelligence_Agency,Organisation,Central_Intelligence_Agency,"The Central Intelligence Agency (CIA) is a civilian foreign intelligence service  of the U.S. Government, tasked with gathering, processing and analyzing national security information from around the world, primarily through the use of human intelligence (HUMINT). As one of the principal members of the U.S. Intelligence Community (IC), the CIA reports to the Director of National Intelligence and is primarily focused on providing intelligence for the President and his Cabinet.",40641,5058628,Dick_Cheney,Person,Dick_Cheney," Richard Bruce Cheney, generally known as Dick Cheney (born January 30, 1941) is an American politician and businessman who was the 46th Vice President of the United States from 2001 to 2009, under President George W. Bush.",42652,76,head,1,1,7,Leak scandal cia; Temporal,8,Highly related with CIA after 9/11,7
11278,Miami_Marlins,Organisation,Miami_Marlins,"The Miami Marlins are an American professional baseball team based in Miami, Florida. The Marlins compete in Major League Baseball (MLB) as a member club of the National League (NL) East division. Their home park is Marlins Park. Though one of only two MLB franchises to have never won a division title (the other is the Colorado Rockies), the Marlins have won two World Series championships as a Wild Card.",9874,552153,Iván_Rodríguez,Person,Iván_Rodríguez,"Iván Rodríguez Torres (born November 27, 1971), nicknamed ""Pudge"" or ""I-Rod"" is a retired Major League Baseball catcher. In his career, he played for the Texas Rangers (on two different tours, comprising the majority of his career), Florida Marlins, Detroit Tigers, New York Yankees, Houston Astros and Washington Nationals.",1600,30,head,1,1,8,Played just one year; May be 7,7,A player and a rival team.,7
21728,New_York_Mets,Organisation,New_York_Mets,"The New York Mets are an American professional baseball team based in Queens, New York City. The Mets are a member of the National League East Division of Major League Baseball (MLB). The Mets are one of two Major League clubs based in New York, the other being the New York Yankees.",28128,301428,Rawlings_Gold_Glove_Award,Object,Rawlings_Gold_Glove_Award,"A trophy sits on a green table topped by a golden baseball glove flanked by two golden baseballs.The Gold Glove Award given to Eric Chavez for his performance during the 2005 seasonThe Rawlings Gold Glove Award, usually referred to as the Gold Glove, is the award given annually to the Major League Baseball players judged to have exhibited superior individual fielding performances at each fielding position in both the National League (NL) and the American League (AL), as voted by the managers and coaches in each league. Managers are not permitted to vote for their own players. Additionally, a sabermetric component provided by Society for American Baseball Research (SABR) accounts for approximately 25 percent of the vote. Eighteen Gold Gloves are awarded each year (with the exception of 1957, 1985 and 2007), one at each of the nine positions in each league. In 1957, the baseball glove manufacturer Rawlings created the Gold Glove Award to commemorate the best fielding performance at each position. The award was created from a glove made from gold lamé-tanned leather and affixed to a walnut base. Initially, only one Gold Glove per position was awarded to the top fielder at each position in Major League Baseball; however, separate awards were given for the National and American Leagues beginning in 1958.",1751,27,head,1,1,5,May be related,7,A sport team and a prize which is given to the best football player.,6
19001,Microsoft,Organisation,Microsoft,"Microsoft Corporation  (commonly referred to as Microsoft) is an American multinational technology company headquartered in Redmond, Washington, that develops, manufactures, licenses, supports and sells computer software, consumer electronics and personal computers and services. Its best known software products are the Microsoft Windows line of operating systems, Microsoft Office office suite, and Internet Explorer and Edge web browsers. Its flagship hardware products are the Xbox game consoles and the Microsoft Surface tablet lineup. It is the world's largest software maker by revenue, and one of the world's most valuable companies.",24311,89847,IPod,Object,IPod,"The iPod is a line of portable media players and multi-purpose pocket computers designed and marketed by Apple Inc. The first line was released on October 23, 2001, about 8½ months after iTunes (Macintosh version) was released. The most recent iPod redesigns were announced on July 15, 2015. There are three current versions of the iPod: the ultra-compact iPod Shuffle, the compact iPod Nano and the touchscreen iPod Touch.",11554,33,head,2,1,5,,6,A software house and an hardware product of a rival company.,5
72856,Orlando_Magic,Organisation,Orlando_Magic,"The Orlando Magic is an American professional basketball team based in Orlando, Florida. The Magic compete in the National Basketball Association (NBA) as a member club of the league's Eastern Conference Southeast Division. The franchise was established in 1989 as an expansion franchise, and such notable NBA stars as Shaquille O'Neal, Penny Hardaway, Patrick Ewing, Grant Hill, Tracy McGrady, Steve Francis, Dwight Howard, Vince Carter, and Rashard Lewis have played for the club throughout its young history. The franchise has also been in the playoffs for more than half of its existence (14 playoff appearances in 27 years).  Orlando has been the second most successful of the four expansion teams brought into the league in 1988 and 1989 in terms of winning percentage, after the Miami Heat.",4827,72855,New_York_Knicks,Organisation,New_York_Knicks,"The New York Knickerbockers, commonly referred to as the Knicks, are an American professional basketball team based in New York City. The Knicks compete in the National Basketball Association (NBA) as a member club of the Atlantic Division of the Eastern Conference. The team plays its home games at Madison Square Garden, located in the borough of Manhattan. They are one of two NBA teams located in New York City; the other is the Brooklyn Nets. The team, established by Ned Irish in 1946, was one of the founding members of the Basketball Association of America (BAA), which became the NBA after merging with the rival National Basketball League (NBL) in 1949. Along with the Boston Celtics, the Knicks are one of only two original NBA teams still located in its original city.",18517,50,head,1,1,8,,8,Rival teams.,8
72855,New_York_Knicks,Organisation,New_York_Knicks,"The New York Knickerbockers, commonly referred to as the Knicks, are an American professional basketball team based in New York City. The Knicks compete in the National Basketball Association (NBA) as a member club of the Atlantic Division of the Eastern Conference. The team plays its home games at Madison Square Garden, located in the borough of Manhattan. They are one of two NBA teams located in New York City; the other is the Brooklyn Nets. The team, established by Ned Irish in 1946, was one of the founding members of the Basketball Association of America (BAA), which became the NBA after merging with the rival National Basketball League (NBL) in 1949. Along with the Boston Celtics, the Knicks are one of only two original NBA teams still located in its original city.",18517,72878,Milwaukee_Bucks,Organisation,Milwaukee_Bucks,"The Milwaukee Bucks are an American professional basketball franchise based in Milwaukee, Wisconsin. The Bucks compete in the National Basketball Association (NBA) as a member team of the Eastern Conference Central Division. The team was founded in 1968 as an expansion team, and played at the BMO Harris Bradley Center. Former U.S. Senator Herb Kohl was the long-time owner of the team, with John Hammond as current general manager; as of April 16, 2014 a group led by billionaire hedge fund managers Wesley Edens and Marc Lasry agreed to purchase a majority interest in the team from Kohl, a sale which was approved by the owners of the NBA and its Board of Governors a month later on May 16. The team is currently valued at $600 million according to Forbes, ranking last in the league.",5384,59,head,1,1,8,,8,Rival teams.,8
37653,CBS,Organisation,CBS,"CBS (an initialism of the network's former name, the Columbia Broadcasting System) is an American commercial broadcast television network that is the flagship properties of CBS Corporation. The company is headquartered at the CBS Building in New York City with major production facilities and operations in New York City (at the CBS Broadcast Center) and Los Angeles (at CBS Television City and the CBS Studio Center).",37582,4765530,HBO,Organisation,HBO,"HBO (Home Box Office) is an American premium cable and satellite television network that is owned by Home Box Office Inc., the cable flagship division of Time Warner. HBO's programming consists primarily of theatrically released motion pictures and original television series, along with made-for-cable movies and documentaries, boxing matches and occasional stand-up comedy and concert specials. ",20401,25,head,1,1,8,May be lower,8,Rival tv companies.,8
43356,Tiger_Woods,Person,Tiger_Woods,"Eldrick Tont ""Tiger"" Woods (born December 30, 1975) is an American professional golfer who is among the most successful golfers of all time. He has been one of the highest-paid athletes in the world for several years.",6522,176725,The_Open_Championship,Object,The_Open_Championship,"The Open Championship, or simply The Open (often referred to as the British Open), is the oldest of the four major championships in professional golf. Held in the United Kingdom, it is administered by The R&A and is the only major outside the United States. The Open is currently the third major of the calendar year, following The Masters and the U.S. Open, and preceding the PGA Championship.",2166,35,head,1,1,8,,7,A golf player and a golf championship.,8
33057,White_House,Location,White_House,"The White House is the official residence and principal workplace of the President of the United States, located at 1600 Pennsylvania Avenue NW in Washington, D.C. It has been the residence of every U.S. president since John Adams in 1800.",143005,31975,United_States_Department_of_State,Organisation,United_States_Department_of_State,"The United States Department of State (DOS), often referred to as the State Department, is the United States federal executive department responsible for the international relations of the United States, equivalent to the foreign ministry of other countries. The Department was created in 1789 and was the first executive department established.",42794,110,head,2,1,8,Few blocks away from white house; May be lower,8,,8
21780,NBC,Organisation,NBC,"The National Broadcasting Company (NBC) is an American commercial broadcast television network that is the flagship property of NBCUniversal, a subsidiary of Comcast. The network is headquartered in the Comcast Building (formerly known as the GE Building) at Rockefeller Center in New York City, with additional major offices near Los Angeles (at Universal City Plaza), Chicago (at the NBC Tower) and soon in Philadelphia at Comcast Innovation and Technology Center. The network is part of the Big Three television networks. NBC is sometimes referred to as the ""Peacock Network"", in reference to its stylized peacock logo, which was originally created in 1956 for its then-new color broadcasts and became the network's official emblem in 1979.",39921,14539,Internet,Object,Internet,"The Internet is the global system of interconnected mainframe, personal, and wireless computer networks that use the Internet protocol suite (TCP/IP) to link billions of devices worldwide. It is a network of networks that consists of millions of private, public, academic, business, and government networks of local to global scope, linked by a broad array of electronic, wireless, and optical networking technologies. The Internet carries an extensive range of information resources and services, such as the inter-linked hypertext documents and applications of the World Wide Web (WWW), electronic mail, Usenet newsgroups, telephony, and peer-to-peer networks for file sharing.",86415,34,head,1,1,3,May be due to the use of social media?,6,A tv network and internet.,4
45470,Manhattan,Location,Manhattan,"Manhattan (, ) is one of the five boroughs of New York City, in the state of New York in the United States. The borough is coterminous with New York County, founded on November 1, 1683 as one of the state's original counties. The borough consists mostly of Manhattan Island, bounded by the East, Hudson, and Harlem Rivers, and also includes several small adjacent islands and Marble Hill, a small neighborhood on the mainland.",227651,1170674,Robert_M._Morgenthau,Person,Robert_M._Morgenthau,"Robert Morris Morgenthau ( ; born July 31, 1919) is an American lawyer. From 1975 until his retirement in 2009, he was the District Attorney for New York County, the borough of Manhattan. He is the third longest-serving district attorney in United States history; only E. Michael McCann of Milwaukee County and Henry Wade of Dallas served longer.",1722,26,head,2,1,5,District attorney in New York COunty,8,"District Attorney for New York County, the borough of Manhattan.",6
