srcWikiID,srcWikiTitle,srcWikiType,srcHyperTitle,srcWikiText,srcNYTFreq,dstWikiID,dstWikiTitle,dstWikiType,dstHyperTitle,dstWikiText,dstNYTFreq,cooccurrence,label,outDist,symDist,fRelatedness,fComments,mRelatedness,mComments,harmonicRelatedness
13919,Hezbollah,Organisation,Hezbollah,"Hezbollah (pronounced ;  arDINḤizbu 'llāh, literally ""Party of Allah"" or ""Party of God"")—also transliterated Hizbullah, Hizballah, etc.—is a Shi'a Islamist militant group and political party based in Lebanon. Hezbollah's paramilitary wing is the Jihad Council, and its political wing is Loyalty to the Resistance Bloc party in the Lebanese parliament. After the death of Abbas al-Musawi in 1992, the group has been headed by Hassan Nasrallah, its Secretary-General.",9752,17771,Lebanon,Location,Lebanon,"Lebanon ( or ;  arLibnān or arLubnān; Lebanese Arabic: ; ; ), officially the Lebanese Republic ( aral-Jumhūrīyah al-Lubnānīyah; Lebanese Arabic: ; ), is a sovereign state in Asia. It is bordered by Syria to the north and east and Israel to the south. Lebanon's location at the crossroads of the Mediterranean Basin and the Arabian hinterland facilitated its rich history and shaped a cultural identity of religious and ethnic diversity.",25329,80,head,1,1,8,,8,,8
648807,Rofecoxib,Object,Rofecoxib,"Rofecoxib  is a nonsteroidal anti-inflammatory drug (NSAID) that has now been withdrawn over safety concerns. It was marketed by Merck & Co. to treat osteoarthritis, acute pain conditions, and dysmenorrhea. Rofecoxib was approved by the U.S. Food and Drug Administration (FDA) on May 20, 1999, and was marketed under the brand names Vioxx, Ceoxx, and Ceeoxx.",2281,30874304,Merck_&_Co.,Organisation,Merck_&_Co.,"Merck & Co., Inc. (), d.b.a. Merck Sharp & Dohme (MSD) outside the United States and Canada, is an American pharmaceutical company and one of the largest pharmaceutical companies in the world.",4435,33,head,1,1,9,Containment;,7,Merck approved Rofecoxib.,7
21721,New_York_Jets,Organisation,New_York_Jets,"The New York Jets are a professional American football team located in the New York metropolitan area. The team is a member of the Eastern Division of the American Football Conference (AFC) in the National Football League (NFL). The team is headquartered in Florham Park, New Jersey. In a unique arrangement for the league, the Jets share MetLife Stadium in East Rutherford, New Jersey with the New York Giants. The franchise is legally and corporately registered as New York Jets, LLC.",17870,12512423,West_Side_(Manhattan),Object,West_Side_(Manhattan),"The West Side of Manhattan refers to the side of Manhattan Island which abuts the Hudson River and faces New Jersey. Fifth Avenue, Central Park, and lower Broadway separate it from the East Side. The major neighborhoods on the West Side are (from north to south) West Harlem, Morningside Heights, Manhattan Valley, Upper West Side, Hell's Kitchen, Chelsea, West Village, SoHo, and Tribeca. The 8th Avenue and West Side subway lines connect all parts of the West Side. The main north-south roads servicing the West Side are the Henry Hudson Parkway in the north, and the West Side Highway in the south. The Hudson River Greenway separates them from the west shore of the island.",10030,58,head,2,1,6,,3,In WS Manhattan a  NY Jets stadium was refused.,4
27718,Super_Bowl,Object,Super_Bowl,"The Super Bowl is the annual championship game of the National Football League (NFL), the highest level of professional American football in the world.  The game culminates a season that begins in the late summer of the previous calendar year. Normally, Roman numerals are used to identify each game, rather than the year in which it is held. For example, Super Bowl I was played on January 15, 1967, following the 1966 regular season. The single exception to this rule is Super Bowl 50, which was played on February 7, 2016, following the 2015 regular season. The next game, Super Bowl LI, scheduled for February 5, 2017, will follow the 2016 regular season.",28073,23339,Philadelphia_Eagles,Organisation,Philadelphia_Eagles,"The Philadelphia Eagles are a professional football franchise based in Philadelphia, Pennsylvania. The Eagles are members of the East division of the National Football Conference (NFC) in the National Football League (NFL). The Eagles have won three NFL championships and made two Super Bowl appearances, losing both. These were in 1980 (to the Oakland Raiders), and in 2004 (to the New England Patriots).",8707,32,head,1,1,8,,7,Eagles partecipates to Super Bowl championship every year.,7
3414021,George_W._Bush,Person,George_W._Bush," George Walker Bush (born July 6, 1946) is an American politician and businessman who served as the 43rd President of the United States from 2001 to 2009, and the 46th Governor of Texas from 1995 to 2000. The eldest son of Barbara and George H. W. Bush, he was born in New Haven, Connecticut. After graduating from Yale University in 1968 and Harvard Business School in 1975, he worked in oil businesses. He married Laura Welch in 1977 and ran unsuccessfully for the House of Representatives shortly thereafter. He later co-owned the Texas Rangers baseball team before defeating Ann Richards in the 1994 Texas gubernatorial election. He was elected president in 2000 after a close and controversial election, becoming the fourth president to be elected while receiving fewer popular votes nationwide than his opponent. He is the second president to have been the son of a former president, the first having been John Quincy Adams. He is also the brother of Jeb Bush, who is a former Governor of Florida and former candidate for the Republican presidential nomination in the 2016 presidential election.",310908,4723094,Nouri_al-Maliki,Person,Nouri_al-Maliki,"Nouri Kamil Mohammed Hasan al-Maliki (; born 20 June 1950), also known as Jawad al-Maliki (arجواد المالكي) or Abu Esraa (arأبو إسراء), is an Iraqi politician who was Prime Minister of Iraq from 2006 to 2014. He is secretary-general of the Islamic Dawa Party and is currently the Vice President of Iraq.",5389,32,head,1,1,7,Same type,4,Once Bush visited Nouri Maliki. Both are politicians but in different Nations.,4
5043192,Hillary_Clinton,Person,Hillary_Clinton,"Hillary Diane Rodham Clinton  (born October 26, 1947) is an American politician. She was the 67th United States Secretary of State from 2009 to 2013. From 2001 to 2009, Clinton served as a United States Senator from New York. She is the wife of the 42nd President of the United States Bill Clinton, and was First Lady of the United States during his tenure from 1993 to 2001. Since 2015, she is a candidate for the Democratic nomination for President of the United States in the 2016 election.",26994,534366,Barack_Obama,Person,Barack_Obama,"Barack Hussein Obama II (; born August 4, 1961) is an American politician serving as the 44th President of the United States, the first African American to hold the office. Born in Honolulu, Hawaii, Obama is a graduate of Columbia University and Harvard Law School, where he served as president of the Harvard Law Review. He was a community organizer in Chicago before earning his law degree. He worked as a civil rights attorney and taught constitutional law at University of Chicago Law School between 1992 and 2004. He served three terms representing the 13th District in the Illinois Senate from 1997 to 2004, and ran unsuccessfully in the Democratic primary for the United States House of Representatives in 2000 against incumbent Bobby Rush.",8782,49,head,1,1,9,Temporal relatedness; Same Type,7,Obama won against Hilary. Both politicians of same Nation.,8
166163,John_Edwards,Person,John_Edwards,"Johnny Reid ""John"" Edwards (born June 10, 1953) is an American former politician, who served as a U.S. Senator from North Carolina. He was the Democratic nominee for Vice President in 2004, and was a candidate for the Democratic presidential nomination in 2004 and 2008.",21641,74456,Joe_Lieberman,Person,Joe_Lieberman,"Joseph Isadore ""Joe"" Lieberman (born February 24, 1942) is an American politician and former United States Senator from Connecticut. A former member of the Democratic Party, he was the party's nominee for Vice President in the 2000 election. Currently an independent, he remains closely associated with the party.",14960,27,head,1,1,8,Temporal relatedness; Same Type; Nominee vice president,6,Edwards won against Joe Liebarman. I put 6 because I don't know them well and I am not sure.,7
418359,Hideki_Matsui,Person,Hideki_Matsui,is a Japanese former professional baseball outfielder and designated hitter who played baseball in Japan and the United States. He batted left-handed and threw right-handed.,5237,4848143,New_York_Yankees,Organisation,New_York_Yankees,"The New York Yankees are an American professional baseball team based in the Bronx, New York City, New York, that competes in Major League Baseball (MLB). The Yankees are a member of MLB's American League (AL) East division. The Yankees are one of two Major League clubs based in New York, the other being the New York Mets.",56186,30,head,1,1,9,Temporal relatedness; Containment relation;,9,A team and one of its players.,9
103064,David_Wells,Person,David_Wells,"David Lee Wells (born May 20, 1963), nicknamed ""Boomer"", is an American former Major League Baseball pitcher. Wells was considered to be one of the game's better left-handed pitchers, especially during his years with the New York Yankees and the Toronto Blue Jays. He pitched the 15th perfect game in baseball history. He is tied only with Kenny Lofton for appearing in the post-season with six teams. Wells is currently a broadcaster on MLB on TBS and the host of The Cheap Seats on FOXSports.com.",4613,4848143,New_York_Yankees,Organisation,New_York_Yankees,"The New York Yankees are an American professional baseball team based in the Bronx, New York City, New York, that competes in Major League Baseball (MLB). The Yankees are a member of MLB's American League (AL) East division. The Yankees are one of two Major League clubs based in New York, the other being the New York Mets.",56186,35,head,1,1,9,Temporal relatedness; Containment relation;,9,A team and one of its players.,9
5043544,Democratic_Party_(United_States),Organisation,Democratic_Party_(United_States),"The Democratic Party is one of the two major contemporary political parties in the United States, along with the Republican Party. Tracing its heritage back to Thomas Jefferson's Democratic-Republican Party, the modern-day Democratic Party was founded around 1828, making it the world's oldest active party.",234404,5122699,John_Kerry,Person,John_Kerry,"John Forbes Kerry (born December 11, 1943) is an American politician who is the 68th and current United States Secretary of State. He has served in the United States Senate, and was chairman of the Senate Foreign Relations Committee. Kerry was the candidate of the Democratic Party in the 2004 presidential election, losing to George W. Bush.",62178,389,head,1,1,9,Temporal relatedness; Containment relation;,8,One of the maximum exponent of Democractic Party since he was also candidated in presidential election.,8
